title,release_date,rating,trailer_link,category,language,runtime,movie_genres,photo1,photo2,photo3,cast1,cast2,cast3,crew1,crew2,crew3
Arjun reddy23/07/2017,,8.5,https://www.youtube.com/embed/aozErj9NqeE,Movies,Telugu,3h 2min,Action:Drama:Romance,https://www.pinkvilla.com/imageresize/arjun_reddy_poster_kabir_singh_0.jpg?width=752&format=webp&t=pvorg,,,Arjun Reddy:Vijay Devarakonda,Preeti:Shalini Pandey,,Director:Sandeep Reddy Vanga,Producer:Pranay Reddy,Cinematography: Raj thota
The Dark Knight,14-07-2008,9,https://www.youtube.com/embed/kmJLuwP3MbY,Movies,English,2h 32min,Action:Crime:Drama,https://www.pinkvilla.com/imageresize/dark_knight_joker_main.jpg?width=752&format=webp&t=pvorg,https://www.imdb.com/title/tt0468569/mediaviewer/rm3487006720/,https://www.imdb.com/title/tt0468569/mediaviewer/rm3235348480/,Bruce Wayne:Christian Bae,Joker:Heath Ledger,Rachel:Maggie Gyllenhaal,Director:Christopher Nolan,Producer:Emma Thomas,Cinematography:Wally Pfister
Fight Club,10-09-1999,8.8,https://www.youtube.com/embed/dfeUzm6KF4g,Movies,English,2h 19min,Drama:Sport,https://www.pinkvilla.com/imageresize/motherless-brooklyn-star-edward-norton-reveals-why-fight-club-bombed-at-the-box-office.jpg?width=752&format=webp&t=pvorg,https://www.imdb.com/title/tt0137523/mediaviewer/rm4232812800/,,Tyler Durden:Brad Pit,Marla Singer:Helena Carter,Inter:Richmond Arquett,Director:David Fincher,Producer:Ross Bell,Cinematography:Jeff Cronenweth
Parasite,30-05-2019,8.6,https://www.youtube.com/embed/5xH0HfJHsaY,Movies,English,2h 12min,Comedy:Drama:Thriller,https://www.pinkvilla.com/imageresize/parastie-movie-review-main-image.jpg?width=752&format=webp&t=pvorg,https://www.imdb.com/title/tt6751668/mediaviewer/rm1338032897/,,Ki Taek:Kang ho sang,Yeon Kyo:Yeo jeong cho,Ki Jung:So dam Park,,Producer:Kwak Sin ae,Cinematography:Hong Kyung pyo
Soorarai Pottru,12-11-2020,9.1,https://www.youtube.com/embed/fa_DIwRsa9o,Movies,Tamil,2h 33min,Drama:Action,https://www.pinkvilla.com/files/styles/amp_metadata_content_image/public/suriya_about_soorarai_pottru.jpg,https://www.imdb.com/title/tt10189514/mediaviewer/rm4266326273/,https://www.imdb.com/title/tt10189514/mediaviewer/rm4148885761/,Nedumaaran Rajangam:Suriya,Sundari:Aparna Balamurali,Naidu:Mohan Babu,Director:Sudha Kongara,Producer:Gunnet Monga,Cinematography:Niketh Bommiredyy
Jersey,10-04-2019,8.6,https://www.youtube.com/embed/AjAe_Q1WZ_8,Movies,Telugu,2h 37min,Drama:Sport,https://www.pinkvilla.com/imageresize/shahid_kapoor_pens_note_for_jersey_team_main.jpg?width=752&format=webp&t=pvorg,https://www.imdb.com/title/tt8948790/mediaviewer/rm2340467201/,https://www.imdb.com/title/tt8948790/mediaviewer/rm2709565953/,Arjun:Nani,Sarah:Shraddha Srinath,Murthy:SathyaRaj,Director:Gautam Tinnanuri,Producer:Suryadevara Naga Vamsi,Cinematography:Sanu varghese
Asuran,04-10-2019,8.5,https://www.youtube.com/embed/vOCM9wztBYQ,Movies,Tamil,2h 21min,Action:Drama,https://www.themoviedb.org/t/p/w220_and_h330_face/9EUF0c13y5aigU1Mmzt4fthxrkR.jpg,https://www.imdb.com/title/tt9477520/mediaviewer/rm509969921/,https://www.imdb.com/title/tt9477520/mediaviewer/rm3647243777/,Siva Saamy:Dhanush,Pachaiyammal:Manju Warrier,Venugopal Seshadri:Prakash Raj,Director:Vetrimaaran,Producer:Kalaippuli S Thanu,Cinematography:R velraj
Dangal,23-12-2016,8.4,https://www.youtube.com/embed/x_7YlGv9u1g,Movies,Hindi,2h 41min,Action:Drama,https://www.pinkvilla.com/files/styles/amp_metadata_content_image/public/pinkvilla_picks_5_reasons_why_aamir_khans_dangal_is_perfect_to_binge_on_for_inspiration_amid_lockdown.jpg,https://www.imdb.com/title/tt5074352/mediaviewer/rm3383718144/,https://www.imdb.com/title/tt5074352/mediaviewer/rm4038029568/,Mahavir Singh Phogat:Aamir khan,Geeta Phogat:Fatima Sana Shaik ,Omkar:Aparshakti Khurana,Director:Nitesh Tiwari,Producer:Siddharth Roy Kapoor,Cinematography:setu
Bahubali,10-07-2015,8,https://www.youtube.com/embed/sOEg_YZQsTI,Movies,Telugu,2h 39min,Drama,https://www.pinkvilla.com/imageresize/baahubali%202_BO-Business.jpg?width=752&format=webp&t=pvorg,https://www.imdb.com/title/tt2631186/mediaviewer/rm148780800/,https://www.imdb.com/title/tt2631186/mediaviewer/rm69009152/,Shivudu:Prabhas,Devasena:Anushka,Kattappa:Sathyaraj,Director:SS Rajamouli,Producer:Shobu Yarlagadda,Cinematography:Senthil Kumar
Game Of Thrones,17-04-2011,9.2,https://www.youtube.com/embed/KPLWWIOCOOQ,TV Series,English,0h 57min,Action:Drama,https://www.pinkvilla.com/imageresize/Game%20of%20Thrones%20Season%208%20Spoiler%20Alert%20Jon%20Snow%20to%20face%20a%20similar%20fate%20of%20Ned%20Stark%20%282%29.jpg?width=752&format=webp&t=pvorg,https://www.imdb.com/title/tt0944947/mediaviewer/rm2900518144/,https://www.imdb.com/title/tt0944947/mediaviewer/rm2699191552/,Daenerys Targaryen:Emilia Clarke,Jon snow:Kit Harington,Tyrion Lannister:Peter Dinklage,Director:David Benioff,Producer:Strauss Frank,Cinematography:Fabian wagner
Breaking Bad,20-01-2008,9.4,https://www.youtube.com/embed/HhesaQXLuRY,Series,English,0h 49min,Thriller:Drama,https://www.imdb.com/title/tt0903747/mediaviewer/rm441074688/,https://www.imdb.com/title/tt0903747/mediaviewer/rm407520256/,https://www.imdb.com/title/tt0903747/mediaviewer/rm1497908224/,Walter White:Bryan Cranston,Skyler White:Anna Gunn,Marie Schrader:Betsy Brandt,Director:Vince Gilligan,Producer:Sam Catlin,Cinematography:Michael Slois
Mirzapur,16-11-2018,8.4,https://www.youtube.com/embed/ZNeGF-PvRHY,Series,Hindi,1h 00min,Action:Drama,https://www.pinkvilla.com/files/styles/amp_metadata_content_image/public/mirzapur_season_2_poster_main.jpg,https://www.imdb.com/title/tt6473300/mediaviewer/rm3039981824/,https://www.imdb.com/title/tt6473300/mediaviewer/rm1546809600/,Akhandanand Tripathi:Pankaj Tripathi ,Munna Tripathi:Divyendu Sharma,Beena Tripathi:Rasika Dugal,Director:Puneet Krishna,Producer:Ritesh Sidhwani,Cinematography:Sanjay Kapoor
